0.000000	8.180000	8.170000	8.170000	8.170000	8.170000	8.170000	8.170000	8.170000	8.170000	8.170000
0.100000	8.176608	8.164230	8.163606	8.172393	8.172752	8.169370	8.169398	8.170935	8.173043	8.176708
0.200000	8.162882	8.155842	8.169670	8.183731	8.173844	8.162693	8.169163	8.178134	8.178670	8.173519
0.300000	8.151354	8.171578	8.194932	8.186828	8.154321	8.153153	8.184122	8.192331	8.168889	8.149716
0.400000	8.191370	8.221114	8.194988	8.139940	8.125635	8.181998	8.223697	8.177857	8.117228	8.131979
0.500000	8.297370	8.204395	8.082827	8.079434	8.190303	8.276906	8.207468	8.067458	8.073035	8.222393
0.600000	8.250068	7.938009	7.956864	8.242098	8.409589	8.247883	7.968466	7.958073	8.256400	8.455450
0.700000	7.646609	7.660437	8.338905	8.753820	8.331144	7.694911	7.717232	8.335725	8.759392	8.352327
0.800000	7.043370	8.467324	9.492721	8.549404	7.005154	7.115998	8.509650	9.435960	8.512140	6.994035
0.900000	8.543202	10.912701	8.949766	5.362202	5.699706	8.595768	10.897579	8.806840	5.349192	5.720148
1.000000	13.018438	9.613922	1.495186	2.843868	7.432529	13.025749	9.527422	1.428415	2.940665	7.519972
1.100000	12.162037	-4.602077	-0.989252	2.284676	11.444027	12.254164	-4.524390	-1.005163	2.353747	11.645077
1.200000	-2.507646	-9.431817	0.925857	5.323600	12.142118	-2.099309	-9.533176	1.047813	5.457270	12.237579
1.300000	-10.793582	2.603251	-2.953486	3.041774	9.357053	-10.589800	2.189169	-3.179779	3.178898	9.161778
1.400000	-6.166640	9.068309	5.762852	2.969044	6.451027	-6.010710	9.083759	5.278014	3.048575	6.277546
1.500000	-1.727513	7.808417	10.703823	0.566703	4.359142	-1.375296	8.149999	10.173197	0.500336	4.207861
1.600000	3.054630	8.058633	9.508281	-1.766202	5.277433	3.522158	8.518828	8.463703	-2.090574	5.291087
1.700000	9.353805	8.205596	2.425916	-2.552098	5.387198	9.769825	7.696092	0.895351	-2.587292	5.193470
1.800000	12.307564	2.148607	-4.043561	-1.544023	3.179979	12.364896	0.380271	-3.873974	-1.700096	2.881880
1.900000	12.099681	-3.290086	-1.350619	-1.600777	1.374783	11.826686	-3.877346	0.551118	-1.531862	1.009828
2.000000	11.530372	-1.825614	3.230214	-0.279562	0.934711	11.327411	-0.626120	4.358265	0.258603	1.082909
2.100000	11.105291	1.464727	3.800060	1.034364	1.942763	11.185496	3.123395	3.237352	1.086039	2.291095
2.200000	11.035760	2.045894	2.330714	1.903205	3.690715	11.352992	2.590220	0.621063	1.687172	4.059218
2.300000	10.095853	-0.641886	2.160596	3.283885	6.245976	10.025141	-1.606191	0.768946	2.480245	6.475962
2.400000	5.572685	-3.561143	3.317746	6.411852	8.292539	3.954901	-4.652337	2.535392	5.038180	8.662944
2.500000	-2.834192	-3.120751	1.356485	9.436781	5.603472	-4.448968	-3.139207	0.297303	7.457649	8.290695
2.600000	-7.207364	1.143961	0.711847	9.553251	-0.074308	-6.275583	-0.231770	-0.770784	7.143721	4.764820
