0.000000	8.180000	8.170000	8.170000	8.170000	8.170000
0.100000	8.175977	8.163627	8.164540	8.175435	8.179460
0.200000	8.155563	8.155004	8.177796	8.192404	8.177358
0.300000	8.134496	8.185663	8.217263	8.185685	8.133964
0.400000	8.203136	8.274743	8.202680	8.086839	8.087571
0.500000	8.403754	8.241032	7.978801	7.982274	8.241365
0.600000	8.324002	7.729503	7.743999	8.321085	8.691939
0.700000	7.139647	7.204034	8.464049	9.324381	8.494971
0.800000	5.985990	8.584082	10.634397	8.814369	5.699789
0.900000	7.823097	12.741864	9.415112	2.234051	3.414375
1.000000	12.367902	11.607959	-3.818723	-0.394553	3.329987
1.100000	13.093702	-3.872908	-7.877546	-0.110241	5.533296
1.200000	9.962848	-9.897106	4.828700	-1.263266	3.357474
1.300000	6.218031	-4.765799	9.048535	7.778994	3.276060
1.400000	4.108063	-0.602900	7.822784	11.433943	0.233865
1.500000	5.410632	4.432295	8.673908	8.736234	-2.468734
1.600000	4.711435	10.795380	7.539595	-0.135997	-2.884471
1.700000	1.835592	12.611003	0.001334	-4.627712	-1.779704
1.800000	-0.114271	12.198210	-3.312284	-0.163389	-1.598509
1.900000	-0.345904	11.837581	0.285735	2.875512	-0.516916
2.000000	0.195123	11.479548	3.530400	0.867902	-0.120811
2.100000	1.332123	11.341463	2.441257	-1.981220	0.804979
2.200000	3.339846	10.820102	-1.695752	-1.451298	1.156582
2.300000	5.061934	8.580792	-4.499725	2.104638	2.156212
2.400000	6.300105	3.627347	-4.828890	3.724510	6.076663
2.500000	4.680377	-2.580438	-3.637044	1.119934	8.877591
2.600000	1.701718	-5.003723	-1.160258	-1.158500	8.761290
2.700000	-0.741889	-4.134910	0.402564	-0.566166	8.622604
2.800000	-2.473447	-1.662832	0.670197	0.900975	8.516647
2.900000	-2.866452	1.216053	1.354225	2.312657	7.903190
3.000000	-2.365622	3.154239	3.282690	3.872987	6.470951
3.100000	-1.818197	3.767020	5.989664	4.927464	3.731534
3.200000	-1.072292	3.475393	8.336914	3.992175	0.282308
3.300000	-0.291065	3.345277	9.333014	0.859885	-1.259557
3.400000	0.282314	3.762256	8.957163	-2.134165	0.316392
3.500000	2.214834	4.796476	7.283641	-3.160318	2.944812
3.600000	5.749777	5.736302	3.721718	-3.005434	3.960921
3.700000	8.661665	4.330504	-0.874208	-2.172441	2.883579
